	wrapperType	collectionType	artistId	collectionId	amgArtistId	artistName	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate	primaryGenreName
10	collection	Album	518462	1444127009	52456.0	Louis Armstrong	The Best of the Decca Years, Vol. 1 - The Singer	The Best of the Decca Years, Vol. 1 - The Singer	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-best-of-the-decca-years-vol-1-the-singer/1444127009?uo=4	https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/1c/4b/8f/1c4b8ffc-126f-d162-dcee-c3b815ff07d6/00076743134623.rgb.jpg/60x60bb.jpg	https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/1c/4b/8f/1c4b8ffc-126f-d162-dcee-c3b815ff07d6/00076743134623.rgb.jpg/100x100bb.jpg	7.99	notExplicit	13	This Compilation ℗ 1989 UMG Recordings, Inc.	USA	USD	1989-01-01T08:00:00Z	Jazz
11	collection	Album	518462	1444079320	52456.0	Louis Armstrong	Louis for Lovers	Louis for Lovers	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-for-lovers/1444079320?uo=4	https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/40/60/fc/4060fc2b-b205-4d0c-e09e-c972df578cf1/00044006557625.rgb.jpg/60x60bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/40/60/fc/4060fc2b-b205-4d0c-e09e-c972df578cf1/00044006557625.rgb.jpg/100x100bb.jpg	9.99	notExplicit	10	This Compilation ℗ 2003 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2003-01-01T08:00:00Z	Jazz
12	collection	Album	518462	1425262446	52456.0	Louis Armstrong & Oscar Peterson	Louis Armstrong Meets Oscar Peterson (Expanded Edition)	Louis Armstrong Meets Oscar Peterson (Expanded Edition)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-meets-oscar-peterson-expanded-edition/1425262446?uo=4	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/a7/da/9b/a7da9bbe-abdc-880e-caff-f616eb4c6974/00602567828853.rgb.jpg/60x60bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/a7/da/9b/a7da9bbe-abdc-880e-caff-f616eb4c6974/00602567828853.rgb.jpg/100x100bb.jpg	9.99	notExplicit	16	℗ 1985 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1957-10-14T08:00:00Z	Jazz
13	collection	Album	518462	157407490	52456.0	Louis Armstrong and His All-Stars	Ambassador Satch (Live in Europe 1955)	Ambassador Satch (Live in Europe 1955)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/ambassador-satch-live-in-europe-1955/157407490?uo=4	https://is4-ssl.mzstatic.com/image/thumb/Music/1e/ce/f7/mzi.qttnssoh.jpg/60x60bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Music/1e/ce/f7/mzi.qttnssoh.jpg/100x100bb.jpg	9.99	notExplicit	13	℗ Originally Recorded 1955, Originally Released 1956 Sony Music Entertainment Inc.	USA	USD	2000-06-07T07:00:00Z	Jazz
14	collection	Album	518462	171086591	52456.0	Louis Armstrong	The Great Chicago Concert 1956 - Complete	The Great Chicago Concert 1956 - Complete	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-chicago-concert-1956-complete/171086591?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/f9/91/5c/mzi.sehcvwqf.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/f9/91/5c/mzi.sehcvwqf.jpg/100x100bb.jpg	16.99	notExplicit	26	℗ Originally Recorded 1956, Originally Released 1957, (P) 1980 Sony Music Entertainment Inc. WARNING: All rights reserved. Unauthorized duplication is a violation of applicable laws.	USA	USD	1997-04-29T07:00:00Z	Jazz
15	collection	Album	518462	270473182	52456.0	Louis Armstrong	Louis Armstrong: Complete RCA Victor Recordings (Remastered)	Louis Armstrong: Complete RCA Victor Recordings (Remastered)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-complete-rca-victor-recordings-remastered/270473182?uo=4	https://is5-ssl.mzstatic.com/image/thumb/Music/46/c8/ff/mzi.gpifbfvr.jpg/60x60bb.jpg	https://is5-ssl.mzstatic.com/image/thumb/Music/46/c8/ff/mzi.gpifbfvr.jpg/100x100bb.jpg	-1.0	notExplicit	75	℗ 1997 BMG Entertainment	USA	USD	1990-01-01T08:00:00Z	Jazz
16	collection	Album	518462	157384070	52456.0	Louis Armstrong	Super Hits	Super Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/super-hits/157384070?uo=4	https://is4-ssl.mzstatic.com/image/thumb/Music/55/c3/71/mzi.zacnbapu.jpg/60x60bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Music/55/c3/71/mzi.zacnbapu.jpg/100x100bb.jpg	5.99	notExplicit	10	℗ Originally Released 1954,1957,1959,1967,1982, (P) 2000 Sony Music Entertainment Inc.	USA	USD	2000-01-07T08:00:00Z	Jazz
17	collection	Album	518462	1430170339	52456.0	Louis Armstrong	Hello Louis: The Hit Years (1963-1969)	Hello Louis: The Hit Years (1963-1969)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/hello-louis-the-hit-years-1963-1969/1430170339?uo=4	https://is4-ssl.mzstatic.com/image/thumb/Music116/v4/64/b7/41/64b7419a-7e3f-28bb-2519-5e22594eebbb/10UMGIM18453.rgb.jpg/60x60bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Music116/v4/64/b7/41/64b7419a-7e3f-28bb-2519-5e22594eebbb/10UMGIM18453.rgb.jpg/100x100bb.jpg	19.99	notExplicit	39	This Compilation ℗ 2010 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2010-01-01T08:00:00Z	Jazz
18	collection	Album	73568	1434904687	6503.0	Ella Fitzgerald & Louis Armstrong	The Complete Ella and Louis On Verve	The Complete Ella and Louis On Verve	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/the-complete-ella-and-louis-on-verve/1434904687?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/9a/58/b9/9a58b93b-7d10-e268-fc2d-87e5bf0cd11b/00602567848929.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/9a/58/b9/9a58b93b-7d10-e268-fc2d-87e5bf0cd11b/00602567848929.rgb.jpg/100x100bb.jpg	29.99	notExplicit	47	A Verve Records Release; This Compilation ℗ 1997 UMG Recordings Inc.	USA	USD	1997-05-20T07:00:00Z	Jazz
19	collection	Album	518462	293785408	52456.0	Louis Armstrong	The Complete Hot Five and Hot Seven Recordings, Vol. 1	The Complete Hot Five and Hot Seven Recordings, Vol. 1	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-1/293785408?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/50/7c/fc/507cfcf4-6e01-bb97-b11d-4ca44b297365/dj.lclmweis.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/50/7c/fc/507cfcf4-6e01-bb97-b11d-4ca44b297365/dj.lclmweis.jpg/100x100bb.jpg	9.99	notExplicit	20	℗ Originally Released 1925, 1926, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-29T07:00:00Z	Jazz
